,2mTemp,2mDpt,sfcCAPE,sfcCIN,sfcPotentialTmp,sfcPressure,PWAT,2mRH,srh,lifted index 180-0 mb above gnd Best (4-layer),10m wind speed,250mb Geopotenial height,250mb Temperature,250mb wind speed,500mb Geopotenial height,500mb Temperature,500mb wind speed,700mb Geopotenial height,700mb Temperature,700mb wind speed,850mb Geopotenial height,850mb Temperature,850mb wind speed,925mb Geopotenial height,925mb Temperature,925mb wind speed,COUNT,countBinary
1986-05-22,296.621,282.336,605.119,-63.4892,304.7920000000001,93110.7,19.2929,48.8902,102.369,0.5981810000000001,5.8687,10659.0,224.105,21.7202,5744.22,260.273,12.7999,3081.55,279.363,8.63695,1459.41,289.236,8.526530000000001,733.137,294.121,7.414839999999999,0,0
1982-03-19,287.08,275.938,200.178,-57.9258,293.395,93048.6,15.6845,57.6209,136.626,5.0989,6.1750099999999986,10556.5,226.482,35.6863,5660.16,258.33,23.2293,3030.66,274.534,15.017,1442.67,282.672,11.6356,735.1030000000002,286.278,9.90153,1,0
1997-02-20,283.42,277.514,72.4282,-9.21983,288.721,93057.3,17.8375,73.406,108.687,3.1509,5.85595,10446.5,224.011,41.119,5601.53,254.853,22.0849,3010.65,270.555,14.7767,1437.43,281.058,13.9142,733.6160000000001,284.374,11.5944,7,1
1998-03-21,282.798,273.786,1.3320299999999998,-2.77978,288.711,93606.1,8.766960000000001,58.4167,75.6268,7.54535,2.91293,10356.5,219.798,34.8671,5593.98,252.054,17.4268,3022.49,268.991,9.25335,1464.94,277.74,5.39618,770.795,281.733,4.33748,0,0
1997-05-03,291.301,276.661,47.8823,-14.7138,297.959,93984.3,11.1718,42.7731,84.2347,5.08865,4.79786,10556.4,223.106,33.184,5720.9,256.574,20.2513,3110.63,272.684,11.4623,1524.03,284.373,7.37868,811.118,289.642,6.72721,0,0
1984-12-16,278.076,273.754,31.8304,-3.74369,282.117,93567.4,13.8747,75.413,123.283,7.47704,4.40897,10533.0,226.252,36.4334,5657.19,257.443,23.3179,3038.34,273.078,15.3155,1467.83,276.839,10.0387,780.37,278.945,8.583910000000001,0,0
1982-09-20,293.282,282.01,206.185,-9.57619,298.947,94047.4,21.6343,51.018,63.3483,4.43578,3.72058,10752.2,227.618,27.7185,5798.05,261.663,12.7406,3137.49,277.1,7.77194,1534.32,285.449,5.50419,817.1439999999999,291.018,5.13901,0,0
1994-04-03,289.19,275.455,46.1529,-5.42621,295.838,93588.5,11.9714,45.1521,124.272,5.76598,4.6979,10493.6,219.049,41.4732,5673.98,255.915,20.4409,3062.47,273.658,11.8005,1476.69,282.522,7.343380000000002,770.137,287.0420000000001,6.40025,0,0
1987-02-12,284.57,276.175,79.294,-31.4705,288.6090000000001,93980.0,12.3554,60.2317,74.0747,4.59334,3.12598,10493.0,221.295,32.9537,5693.53,254.463,13.3051,3090.4,272.88,7.830310000000001,1510.74,281.309,5.92743,808.6080000000002,284.213,4.47173,0,0
2010-01-31,272.211,268.11,6.59327,-1.22292,276.565,93990.4,8.57578,77.1592,102.201,12.153,3.44136,10379.2,218.843,28.6192,5601.65,253.921,17.6025,3019.16,269.125,9.98093,1472.41,272.543,5.762580000000002,798.1189999999998,272.723,5.36838,0,0
1980-10-20,289.122,278.16900000000004,12.9408,-2.77849,292.654,93811.9,15.8163,50.4143,81.9897,5.3254800000000015,3.11373,10609.5,224.414,28.5337,5724.77,258.28,16.836,3099.29,273.80400000000003,10.5755,1510.72,283.776,6.10591,798.615,289.001,5.29257,0,0
2011-12-28,279.516,271.071,2.39352,-0.667708,282.655,93488.1,8.718580000000001,60.9493,154.704,8.7265,3.71564,10476.6,221.213,37.2288,5636.46,256.124,23.4153,3032.53,271.594,15.3653,1461.77,279.888,9.65574,765.6189999999998,281.969,6.78415,0,0
1994-09-18,298.511,282.271,165.648,-20.0025,303.368,93990.4,19.3257,40.3407,33.1036,3.08284,2.97615,10826.9,225.32,18.0534,5865.82,263.714,6.29208,3179.17,281.06,5.6219800000000015,1548.02,291.1740000000001,4.30661,815.84,296.952,4.17062,0,0
2003-09-02,300.092,286.028,468.483,-26.8854,307.1620000000001,93797.6,29.4866,48.1032,37.7149,1.12555,3.48251,10910.8,229.324,17.9912,5876.15,265.899,9.3436,3172.81,281.737,6.6515,1534.66,292.2,5.3093900000000005,800.367,297.264,4.79547,0,0
1994-06-01,298.6620000000001,285.91,767.186,-20.4177,306.952,93619.1,28.7992,50.5762,76.1877,-0.014382399999999997,4.39231,10814.2,226.306,13.3451,5827.17,263.513,9.4988,3141.26,280.632,6.70302,1509.29,291.068,5.971030000000002,778.085,296.18,5.20227,0,0
1993-01-25,275.732,268.584,4.4714,-0.0734626,279.204,94177.8,8.24917,64.3447,188.47,10.3239,4.1531,10382.6,217.868,37.5615,5622.71,252.848,20.6039,3049.59,267.981,11.3784,1504.69,274.966,7.60608,820.297,277.198,7.32458,0,0
1982-09-04,301.26,285.915,482.491,-51.8389,307.807,93720.8,26.7325,43.3604,78.5316,-0.216273,4.21487,10878.4,227.366,17.311,5873.95,264.672,8.66138,3173.31,282.742,6.3620800000000015,1528.01,293.5540000000001,6.34288,789.674,298.968,6.21438,0,0
2012-10-22,293.755,283.746,380.711,-45.9902,298.362,93425.1,22.2172,57.4576,146.424,1.0225,4.93392,10729.1,225.359,26.9861,5783.03,262.007,14.6904,3109.42,279.829,9.31647,1487.35,288.443,8.51452,765.2260000000001,292.511,8.1334,0,0
1999-09-08,297.066,284.652,553.646,-18.5727,303.89,93504.0,25.0595,49.6091,59.51,0.697442,4.32608,10775.1,229.394,24.9005,5792.79,262.449,14.0896,3122.87,278.815,9.66716,1501.07,289.813,7.38519,772.737,295.369,6.56249,0,0
1992-06-01,295.306,284.521,488.414,-12.0892,303.288,93534.2,26.0399,54.8528,52.7559,-0.490174,3.90514,10681.0,223.998,26.7725,5761.39,260.361,9.52606,3111.15,276.813,5.77335,1499.15,288.009,4.73431,774.678,293.157,4.62111,8,1
2005-07-31,304.87,287.731,857.459,-62.2259,313.082,93864.2,30.5871,39.9961,40.2679,-1.95962,3.28506,10966.5,229.552,10.8632,5923.47,266.199,7.623989999999999,3208.03,284.1670000000001,5.0399400000000005,1552.12,295.908,4.32821,807.27,301.466,4.38475,0,0
1990-07-09,302.348,288.7870000000001,736.737,-22.3788,310.918,93841.1,34.1776,47.9571,44.8768,-1.30092,3.94516,10963.2,231.602,15.7426,5895.04,266.355,8.586689999999999,3190.04,282.131,6.69843,1544.96,293.846,5.59278,805.398,299.291,5.1604199999999985,3,0
1994-08-12,303.347,288.538,733.408,-30.1765,311.716,93716.3,32.7796,45.6996,52.964,-1.78688,4.21162,10940.0,229.968,20.667,5892.15,266.01,9.64494,3183.64,282.892,6.14106,1534.47,294.656,6.006,792.909,300.022,5.536980000000002,1,0
1998-06-17,301.38,287.535,1426.33,-80.2269,309.422,93233.9,28.7359,51.3371,121.54,-2.75923,6.7631,10844.6,228.926,23.3691,5843.46,263.925,14.7461,3143.56,283.851,11.3523,1493.24,294.003,10.783,752.477,298.926,9.60906,1,0
1992-03-07,289.108,279.314,49.7068,-32.0864,294.759,93287.6,14.3068,57.8152,94.4623,2.03169,3.88587,10493.4,221.122,38.2286,5668.75,256.07,16.8036,3053.97,274.052,10.2337,1462.77,284.052,7.17103,751.416,288.4840000000001,6.1837300000000015,0,0
1992-06-18,301.561,286.942,1042.41,-61.4606,309.458,93523.1,25.762,46.7442,65.9537,-1.4069999999999998,4.45735,10850.9,227.663,26.2116,5859.46,264.741,15.3215,3157.84,283.093,8.95087,1512.2,293.751,6.5998800000000015,773.533,299.211,6.10654,8,1
1985-07-10,303.955,286.18,1009.39,-46.7627,313.017,93641.0,27.1996,40.2305,73.0408,-2.06871,3.46455,10892.4,228.514,18.3548,5882.76,264.286,13.9515,3182.37,283.26,8.21897,1528.9,295.883,5.0271,784.335,301.5540000000001,4.61498,0,0
1993-06-14,298.663,286.717,935.837,-19.22,306.717,93876.5,27.6201,52.3331,69.1578,-0.194992,4.72031,10829.3,226.882,18.9859,5849.81,263.444,12.4221,3164.28,280.416,9.64231,1535.2,290.777,7.6909,804.575,296.155,6.88492,0,0
1998-10-03,293.024,284.7290000000001,782.52,-21.0136,298.553,93495.7,24.9859,64.314,114.055,1.54488,4.9791,10728.9,225.307,23.3045,5776.74,262.368,13.0872,3104.64,278.983,9.07385,1488.39,286.949,7.79455,769.127,291.298,6.9624,0,0
1995-08-05,302.969,289.638,1016.55,-21.1695,311.494,93227.4,35.2768,50.0649,53.4613,-2.63095,4.04291,10925.0,231.018,11.5661,5858.98,266.677,6.26271,3142.26,283.717,4.5503300000000015,1487.94,295.26,4.63932,744.178,300.57,4.74752,3,0
2003-01-28,280.559,274.016,10.3662,-5.11562,284.749,93937.4,14.1589,70.9684,117.085,5.55348,4.33253,10464.1,220.657,35.3336,5655.13,254.292,19.2926,3062.77,271.127,12.6919,1495.47,278.379,10.1151,801.6289999999998,280.765,8.87602,0,0
